character_name,uri
ボルガン,http://www.konami.jp/gs/game/genso/II/bolgan.html
ボリス,http://www.konami.jp/gs/game/genso/II/boris.html
マイクロトフ,http://www.konami.jp/gs/game/genso/II/miklotov.html
マカイ,http://www.konami.jp/gs/game/genso/II/makai.html
マクシミリアン,http://www.konami.jp/gs/game/genso/II/maxmillian.html
マルロ,http://www.konami.jp/gs/game/genso/II/maluwo.html
ミリー,http://www.konami.jp/gs/game/genso/II/millie.html
ムクムク,http://www.konami.jp/gs/game/genso/II/mukumuku.html
メイザース,http://www.konami.jp/gs/game/genso/II/maz.html
メグ,http://www.konami.jp/gs/game/genso/II/meg.html
モンド,http://www.konami.jp/gs/game/genso/II/mondo.html
ヤム・クー,http://www.konami.jp/gs/game/genso/II/yamkoo.html
ユーバー,http://www.konami.jp/gs/game/genso/II/yuber.html
ユズ,http://www.konami.jp/gs/game/genso/II/yuzu.html
ヨシノ,http://www.konami.jp/gs/game/genso/II/yoshino.html
ラウド,http://www.konami.jp/gs/game/genso/II/raud.html
ラウラ,http://www.konami.jp/gs/game/genso/II/raura.html
リィナ,http://www.konami.jp/gs/game/genso/II/rina.html
リキマル,http://www.konami.jp/gs/game/genso/II/rikimaru.html
リドリー,http://www.konami.jp/gs/game/genso/II/ridley.html
リッチモンド,http://www.konami.jp/gs/game/genso/II/richmond.html
リリィ,http://www.konami.jp/gs/game/genso/II/lily.html
ルカ,http://www.konami.jp/gs/game/genso/II/luca.html
ルシア,http://www.konami.jp/gs/game/genso/II/lusia.html
ルック,http://www.konami.jp/gs/game/genso/II/luc2.html
レオナ,http://www.konami.jp/gs/game/genso/II/leona.html
レオン・シルバーバーグ,http://www.konami.jp/gs/game/genso/II/leor.html
レブラント,http://www.konami.jp/gs/game/genso/II/lebrante.html
ロウエン,http://www.konami.jp/gs/game/genso/II/lowen.html
ローレライ,http://www.konami.jp/gs/game/genso/II/lorelai.html
ロンチャンチャン,http://www.konami.jp/gs/game/genso/II/long.html
ワカバ,http://www.konami.jp/gs/game/genso/II/wakaba.html
